Dir,Plant,File
EMIT_SF_061024_,PIED,1
EMIT_SF_061024_,PIED,2
EMIT_SF_061024_,PIED,3
EMIT_SF_061024_,PIED,4
EMIT_SF_061024_,PIED,5
EMIT_SF_061024_,PIED,6
EMIT_SF_061024_,PIED,7
EMIT_SF_061024_,PIED,8
EMIT_SF_061024_,PIED,9
EMIT_SF_061024_,PIED,10
EMIT_SF_061024_,PIED,11
EMIT_SF_061024_,PIED,12
EMIT_SF_061024_,PIED,13
EMIT_SF_061024_,PIED,14
EMIT_SF_061024_,PIED,15
EMIT_SF_061024_,PIED,16
EMIT_SF_061024_,PIED,17
EMIT_SF_061024_,PIED,18
EMIT_SF_061024_,PIED,19
EMIT_SF_061024_,PIED,20
EMIT_SF_061024_,PIED,21
EMIT_SF_061024_,PIED,22
EMIT_SF_061024_,PIED,23
EMIT_SF_061024_,PIED,24
EMIT_SF_061024_,PIED,25